TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"4349299","YuGiOh","2019 Gold Sarcophagus Tin Mega Pack","Sky Striker Maneuver - Afterburners!","","MP19-EN261","Super Rare","Near Mint Unlimited","0.87","9.96","2.2600","0.7700","1","0","0.9600",""
"4348839","YuGiOh","2019 Gold Sarcophagus Tin Mega Pack","Thunder Dragonroar","","MP19-EN169","Prismatic Secret Rare","Near Mint Unlimited","1.54","14.77","3.0400","1.5500","1","0","1.5400",""
"4532921","YuGiOh","2020 Tin of Lost Memories","Barricadeborg Blocker","","MP20-EN140","Rare","Lightly Played 1st Edition","0.43","","1.7900","0.3000","2","0","0.5000",""
"4532059","YuGiOh","2020 Tin of Lost Memories","Cyberse Quantum Dragon","","MP20-EN018","Prismatic Secret Rare","Near Mint 1st Edition","0.80","4.95","1.7000","0.2000","1","0","0.8000",""
"4532294","YuGiOh","2020 Tin of Lost Memories","Destiny HERO - Dominance","","MP20-EN064","Prismatic Secret Rare","Near Mint 1st Edition","0.82","0.75","1.9400","0.4500","1","0","0.5000",""
"4533200","YuGiOh","2020 Tin of Lost Memories","Firewall Dragon Darkfluid","","MP20-EN168","Super Rare","Near Mint 1st Edition","0.49","0.49","1.6200","0.1300","1","0","0.5100",""
"4533245","YuGiOh","2020 Tin of Lost Memories","Infinitrack Mountain Smasher","","MP20-EN213","Ultra Rare","Near Mint 1st Edition","0.26","0.31","1.6800","0.1900","3","0","0.5000",""
"4532795","YuGiOh","2020 Tin of Lost Memories","Marincess Blue Slug","","MP20-EN118","Super Rare","Near Mint 1st Edition","1.58","2.89","2.5300","1.0400","25","0","1.4000",""
"4532640","YuGiOh","2020 Tin of Lost Memories","Mermail Abyssalacia","","MP20-EN095","Super Rare","Near Mint 1st Edition","0.36","","1.6700","0.1800","2","0","0.5000",""
"4532635","YuGiOh","2020 Tin of Lost Memories","Number XX: Utopic Dark Infinity","","MP20-EN094","Super Rare","Near Mint 1st Edition","0.29","0.25","1.6300","0.1400","3","0","0.5000",""
"4532269","YuGiOh","2020 Tin of Lost Memories","Omni Dragon Brotaur","","MP20-EN059","Ultra Rare","Near Mint 1st Edition","0.31","","1.5700","0.0800","1","0","0.5000",""
"4533210","YuGiOh","2020 Tin of Lost Memories","Salamangreat Pyro Phoenix","","MP20-EN169","Ultra Rare","Near Mint 1st Edition","5.14","10.33","5.0700","5.0700","2","0","5.1400",""
"4532219","YuGiOh","2020 Tin of Lost Memories","Shinobi Necro","","MP20-EN049","Super Rare","Near Mint 1st Edition","0.25","0.25","1.5900","0.1000","1","0","0.5000",""
"4532089","YuGiOh","2020 Tin of Lost Memories","Sky Striker Ace - Kaina","","MP20-EN023","Prismatic Secret Rare","Near Mint 1st Edition","1.31","2.57","2.3600","0.8700","1","0","1.6100",""
"4532154","YuGiOh","2020 Tin of Lost Memories","Super Anti-Kaiju War Machine Mecha-Thunder-King","","MP20-EN036","Ultra Rare","Near Mint 1st Edition","0.25","0.25","1.5400","0.0500","1","0","0.5000",""
