TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"3415209","YuGiOh","Battles of Legend: Light's Revenge","Lazion, the Timelord","","BLLR-EN031","Ultra Rare","Near Mint 1st Edition","0.43","0.48","1.7200","0.2300","1","0","0.4300",""
"3415374","YuGiOh","Battles of Legend: Light's Revenge","Neo Galaxy-Eyes Photon Dragon","","BLLR-EN064","Ultra Rare","Near Mint 1st Edition","2.47","4.77","3.4900","2.0000","1","0","2.4700",""
"3415074","YuGiOh","Battles of Legend: Light's Revenge","Performapal Odd-Eyes Synchron","","BLLR-EN004","Secret Rare","Near Mint 1st Edition","2.69","5.74","3.1700","1.6800","1","0","2.6900",""
"3415264","YuGiOh","Battles of Legend: Light's Revenge","Raiden, Hand of the Lightsworn","","BLLR-EN042","Ultra Rare","Near Mint 1st Edition","0.73","","1.9400","0.4500","1","0","0.7700",""
"3415219","YuGiOh","Battles of Legend: Light's Revenge","Sadion, the Timelord","","BLLR-EN033","Ultra Rare","Near Mint 1st Edition","0.31","0.24","1.6300","0.1400","5","0","0.3100",""
"3415439","YuGiOh","Battles of Legend: Light's Revenge","Transmodify","","BLLR-EN077","Ultra Rare","Near Mint 1st Edition","0.24","0.21","1.5500","0.0600","1","0","0.5000",""
"3415149","YuGiOh","Battles of Legend: Light's Revenge","White Aura Dolphin","","BLLR-EN019","Secret Rare","Near Mint 1st Edition","0.45","0.41","1.5900","0.1000","1","0","0.4500",""
"8765712","YuGiOh","Battles of Legend: Monster Mayhem","Blue-Eyes White Dragon","","BLMM-EN001","Secret Rare","Near Mint 1st Edition","13.90","13.36","13.3500","11.8600","1","0","15.1300",""
"8765992","YuGiOh","Battles of Legend: Monster Mayhem","Crowley, the Gifted Magistus","","BLMM-EN044","Secret Rare","Near Mint 1st Edition","8.81","8.80","7.7300","7.7300","11","0","15.5400",""
"8765742","YuGiOh","Battles of Legend: Monster Mayhem","Gearfried the Iron Knight","","BLMM-EN004","Secret Rare","Near Mint 1st Edition","0.97","1.48","1.9700","0.4800","1","0","1.1000",""
"8765872","YuGiOh","Battles of Legend: Monster Mayhem","Gem-Knight Nepyrim (Starlight Rare)","","BLMM-EN021","Starlight Rare","Near Mint 1st Edition","34.15","34.14","29.9900","29.9900","1","0","37.6000",""
"8765752","YuGiOh","Battles of Legend: Monster Mayhem","Gorz the Emissary of Darkness","","BLMM-EN005","Secret Rare","Near Mint 1st Edition","5.37","7.98","5.9900","4.0000","0","0","5.5400",""
"8765762","YuGiOh","Battles of Legend: Monster Mayhem","Honest","","BLMM-EN006","Secret Rare","Near Mint 1st Edition","0.94","1.49","2.0400","0.5500","1","0","0.9100",""
"8766622","YuGiOh","Battles of Legend: Monster Mayhem","Lib the World Key Blademaster","","BLMM-EN159","Secret Rare","Near Mint 1st Edition","0.22","0.10","1.5700","0.0800","1","0","0.5000",""
"8765802","YuGiOh","Battles of Legend: Monster Mayhem","Ojama Trio","","BLMM-EN010","Secret Rare","Near Mint 1st Edition","1.59","2.97","2.4100","0.9200","1","0","1.8300",""
"8765722","YuGiOh","Battles of Legend: Monster Mayhem","Skull Servant","","BLMM-EN002","Secret Rare","Near Mint 1st Edition","2.67","4.48","3.8800","2.3900","1","0","3.0800",""
"7222325","YuGiOh","Battles of Legend: Monstrous Revenge","Danger! Nessie!","","BLMR-EN059","Secret Rare","Near Mint 1st Edition","0.32","0.67","1.6300","0.1400","7","0","0.5000",""
"7222580","YuGiOh","Battles of Legend: Monstrous Revenge","Dante, Traveler of the Burning Abyss","","BLMR-EN081","Secret Rare","Near Mint 1st Edition","0.39","0.24","1.6900","0.2000","1","0","0.5000",""
"7222290","YuGiOh","Battles of Legend: Monstrous Revenge","Knightmare Corruptor Iblee","","BLMR-EN057","Secret Rare","Near Mint 1st Edition","0.49","1.00","1.7400","0.2500","3","0","0.5500",""
"7222470","YuGiOh","Battles of Legend: Monstrous Revenge","Mysterion the Dragon Crown","","BLMR-EN071","Secret Rare","Near Mint 1st Edition","0.65","0.65","1.7400","0.2500","1","0","0.7200",""
"7222555","YuGiOh","Battles of Legend: Monstrous Revenge","Number 65: Djinn Buster","","BLMR-EN079","Ultra Rare","Near Mint 1st Edition","0.32","0.30","1.6900","0.2000","1","0","0.5000",""
"7233826","YuGiOh","Battles of Legend: Monstrous Revenge","Tri-Edge Master (Quarter Century Secret Rare)","","BLMR-EN008","Quarter Century Secret Rare","Near Mint 1st Edition","8.91","8.42","8.3000","8.3000","1","0","9.9200",""
"7222515","YuGiOh","Battles of Legend: Monstrous Revenge","Ukiyoe-P.U.N.K. Amazing Dragon","","BLMR-EN075","Secret Rare","Near Mint 1st Edition","0.29","0.27","1.6400","0.1500","2","0","0.5000",""
"3767996","YuGiOh","Battles of Legend: Relentless Revenge","Fullmetalfoes Alkahest","","BLRR-EN081","Ultra Rare","Near Mint 1st Edition","0.24","","1.6700","0.1800","3","0","0.5000",""
"3768016","YuGiOh","Battles of Legend: Relentless Revenge","Number 41: Bagooska the Terribly Tired Tapir","","BLRR-EN085","Ultra Rare","Near Mint 1st Edition","3.65","2.99","4.4800","2.9900","1","0","3.3100",""
"3767660","YuGiOh","Battles of Legend: Relentless Revenge","Number 90: Galaxy-Eyes Photon Lord","","BLRR-EN033","Secret Rare","Near Mint 1st Edition","4.42","4.36","4.4500","2.9600","1","0","4.8000",""
"3768042","YuGiOh","Battles of Legend: Relentless Revenge","Pre-Preparation of Rites","","BLRR-EN090","Ultra Rare","Near Mint 1st Edition","3.53","89.88","4.7900","3.3000","4","0","6.1100",""
"3767958","YuGiOh","Battles of Legend: Relentless Revenge","Uni-Zombie","","BLRR-EN074","Ultra Rare","Near Mint 1st Edition","2.39","9.99","2.9900","1.5000","1","0","2.7800",""
"3767959","YuGiOh","Battles of Legend: Relentless Revenge","Uni-Zombie","","BLRR-EN074","Ultra Rare","Lightly Played 1st Edition","1.92","3.32","3.0700","1.5800","1","0","2.0600",""
"7985699","YuGiOh","Battles of Legend: Terminal Revenge","Sky Striker Ace - Azalea Temperance","","BLTR-EN044","Secret Rare","Near Mint 1st Edition","2.68","4.45","3.2300","1.7400","1","0","2.7500",""
"4755491","YuGiOh","Blazing Vortex","Armed Dragon LV10 White","","BLVO-EN005","Ultra Rare","Near Mint 1st Edition","0.62","2.90","1.6400","0.1500","1","0","0.8500",""
"4755671","YuGiOh","Blazing Vortex","Dual Avatar - Empowered Mitsu-Jaku","","BLVO-EN041","Ultra Rare","Near Mint 1st Edition","0.23","0.10","1.5900","0.1000","1","0","0.5000",""
"4755606","YuGiOh","Blazing Vortex","Live Twin Lil-la Treat","","BLVO-EN028","Ultra Rare","Near Mint 1st Edition","0.98","1.01","1.9900","0.5000","1","0","0.9800",""
"4755696","YuGiOh","Blazing Vortex","Springans Ship - Exblowrer","","BLVO-EN046","Ultra Rare","Near Mint 1st Edition","0.98","19.98","2.0400","0.5500","3","0","0.9800",""
"4755736","YuGiOh","Blazing Vortex","Springans Watch","","BLVO-EN054","Super Rare","Near Mint 1st Edition","0.39","0.41","1.6100","0.1200","1","0","0.5200",""
"3089920","YuGiOh","Breakers of Shadow","Jizukiru, the Star Destroying Kaiju","","BOSH-EN088","Rare","Lightly Played Unlimited","0.33","","1.7500","0.2600","1","0","0.5000",""
"3045261","YuGiOh","Breakers of Shadow","Jizukiru, the Star Destroying Kaiju","","BOSH-EN088","Rare","Near Mint 1st Edition","0.32","","1.6900","0.2000","1","0","0.5000",""
"5340055","YuGiOh","Brothers of Legend","Altergeist Pookuery","","BROL-EN046","Secret Rare","Near Mint 1st Edition","0.34","0.49","1.6100","0.1200","3","0","0.5000",""
"5339865","YuGiOh","Brothers of Legend","D - Force","","BROL-EN009","Secret Rare","Near Mint 1st Edition","0.41","0.34","1.5900","0.1000","3","0","0.5700",""
"5340270","YuGiOh","Brothers of Legend","Fossil Dig","","BROL-EN089","Ultra Rare","Near Mint 1st Edition","0.37","0.43","1.5800","0.0900","1","0","0.5000",""
"5340200","YuGiOh","Brothers of Legend","Interrupted Kaiju Slumber","","BROL-EN075","Ultra Rare","Near Mint 1st Edition","0.36","0.49","1.6600","0.1700","1","0","0.5000",""
"5339935","YuGiOh","Brothers of Legend","Piri Reis Map","","BROL-EN023","Secret Rare","Near Mint 1st Edition","0.96","18.86","1.9800","0.4900","2","0","1.1700",""
"5340175","YuGiOh","Brothers of Legend","Thought Ruler Archfiend","","BROL-EN070","Ultra Rare","Near Mint 1st Edition","1.46","2.95","2.4300","0.9400","1","0","1.4600",""
"5247423","YuGiOh","Burst of Destiny","Ad Libitum of Despia","","BODE-EN011","Super Rare","Near Mint 1st Edition","0.59","0.64","1.6900","0.2000","2","0","0.6200",""
"5247842","YuGiOh","Burst of Destiny","Beetrooper Light Flapper","","BODE-EN086","Ultra Rare","Near Mint 1st Edition","0.18","0.11","1.5400","0.0500","1","0","0.5000",""
"5247468","YuGiOh","Burst of Destiny","Destiny HERO - Denier","","BODE-EN018","Super Rare","Near Mint 1st Edition","0.57","0.55","1.9900","0.5000","3","0","0.6200",""
"5247378","YuGiOh","Burst of Destiny","Double Disruptor Dragon","","BODE-EN002","Super Rare","Near Mint 1st Edition","0.24","0.16","1.6200","0.1300","1","0","0.5000",""
"5247847","YuGiOh","Burst of Destiny","Heavy Beetrooper Mighty Neptune","","BODE-EN087","Ultra Rare","Near Mint 1st Edition","0.27","0.18","1.6400","0.1500","1","0","0.5000",""
"5247572","YuGiOh","Burst of Destiny","Masquerade the Blazing Dragon","","BODE-EN038","Ultra Rare","Near Mint 1st Edition","0.91","2.47","1.6500","0.1600","1","0","0.9100",""
"5247649","YuGiOh","Burst of Destiny","Swordsoul Emergence","","BODE-EN053","Ultra Rare","Near Mint 1st Edition","1.08","2.98","2.0800","0.5900","1","0","1.0800",""
"5247654","YuGiOh","Burst of Destiny","Swordsoul Sacred Summit","","BODE-EN054","Super Rare","Near Mint 1st Edition","0.30","","1.5900","0.1000","1","0","0.5000",""
"5247592","YuGiOh","Burst of Destiny","Swordsoul Supreme Sovereign - Chengying","","BODE-EN042","Ultra Rare","Near Mint 1st Edition","2.57","1.30","2.7900","1.3000","1","0","2.7700",""
"4253694","YuGiOh","Chaos Impact","Gladiator Beast Attorix","","CHIM-EN012","Rare","Near Mint 1st Edition","0.26","0.23","1.6800","0.1900","1","0","0.5000",""
"4263947","YuGiOh","Chaos Impact","Gladiator Beast Vespasius (CHIM-ENSP1)","","CHIM-ENSP1","Ultra Rare","Near Mint Limited","0.40","0.38","1.7900","0.3000","1","0","0.5500",""
"4282086","YuGiOh","Chaos Impact","Marincess Blue Tang","","CHIM-EN004","Secret Rare","Near Mint Unlimited","1.92","2.78","3.1800","1.6900","1","0","1.9200",""
"4253959","YuGiOh","Chaos Impact","Wailing of the Unchained Souls","","CHIM-EN055","Ultra Rare","Near Mint 1st Edition","0.69","1.00","2.0900","0.6000","1","0","0.7400",""
"3524012","YuGiOh","Circuit Break","Metaverse","","CIBR-EN076","Rare","Lightly Played 1st Edition","0.28","","1.6400","0.1500","1","0","0.5000",""
"3040388","YuGiOh","Clash of Rebellions","Destruction Sword Flash","","CORE-ENSE4","Super Rare","Near Mint Limited","0.36","","1.6900","0.2000","0","0","0.5000",""
"3040389","YuGiOh","Clash of Rebellions","Destruction Sword Flash","","CORE-ENSE4","Super Rare","Lightly Played Limited","0.33","","1.6800","0.1900","1","0","0.5000",""
"2939931","YuGiOh","Clash of Rebellions","Raidraptor - Fuzzy Lanius","","CORE-EN013","Common","Lightly Played 1st Edition","0.24","","1.6400","0.1500","3","0","0.5000",""
"2939936","YuGiOh","Clash of Rebellions","Raidraptor - Singing Lanius","","CORE-EN014","Common","Lightly Played 1st Edition","0.12","","1.5800","0.0900","2","0","0.5000",""
"3447381","YuGiOh","Code of the Duelist","Punishment Dragon","","COTD-EN028","Ultra Rare","Near Mint 1st Edition","0.52","","1.7100","0.2200","2","0","0.5200",""
"3447391","YuGiOh","Code of the Duelist","Traptrix Mantis","","COTD-EN030","Super Rare","Near Mint 1st Edition","0.44","1.12","1.7100","0.2200","1","0","0.5000",""
"3474612","YuGiOh","Code of the Duelist","Trickstar Candina","","COTD-EN008","Ultra Rare","Near Mint Unlimited","3.06","","3.7400","2.2500","1","0","3.3100",""
"268643","YuGiOh","Crimson Crisis","Gladiator Beast Samnite","","CRMS-EN027","Rare","Near Mint Unlimited","0.95","","1.8300","0.3400","1","0","1.0300",""
"279584","YuGiOh","Crimson Crisis","Synchro Change","","CRMS-EN089","Rare","Near Mint 1st Edition","0.15","","1.5900","0.1000","1","0","0.5000",""
"2901065","YuGiOh","Crossed Souls","Rank-Up-Magic Revolution Force","","CROS-EN057","Rare","Near Mint Unlimited","0.45","","1.9000","0.4100","1","0","0.5000",""
"268574","YuGiOh","Crossroads of Chaos","Battle Mania","","CSOC-EN063","Super Rare","Near Mint Unlimited","0.54","","1.7500","0.2600","1","0","0.5700",""
"568308","YuGiOh","Cyberdark Impact","Instant Fusion","","CDIP-EN040","Common","Lightly Played Unlimited","0.68","","2.1600","0.6700","1","0","0.7400",""
"3805698","YuGiOh","Cybernetic Horizon","Danger! Zone","","CYHO-EN087","Ultra Rare","Near Mint 1st Edition","0.92","2.23","2.1800","0.6900","2","0","1.0100",""
"3849439","YuGiOh","Cybernetic Horizon","Dragunity Knight - Luin","","CYHO-EN032","Rare","Near Mint Unlimited","1.06","","2.7700","0.8800","0","0","0.7800",""
"3805168","YuGiOh","Cybernetic Horizon","Dragunity Knight - Luin","","CYHO-EN032","Rare","Near Mint 1st Edition","1.31","","2.4400","0.9500","0","0","0.9000",""
"3805598","YuGiOh","Cybernetic Horizon","Ledger of Legerdemain","","CYHO-EN067","Secret Rare","Near Mint 1st Edition","1.27","2.59","1.8800","0.3900","1","0","1.2500",""
"3805608","YuGiOh","Cybernetic Horizon","Mirror Force Launcher","","CYHO-EN069","Super Rare","Near Mint 1st Edition","0.29","0.20","1.6200","0.1300","2","0","0.5000",""
"568384","YuGiOh","Cybernetic Revolution","D.D.M. - Different Dimension Master","","CRV-EN032","Rare","Lightly Played Unlimited","0.29","","1.6000","0.1100","1","0","0.5000",""
"568362","YuGiOh","Cybernetic Revolution","UFOroid","","CRV-EN010","Super Rare","Lightly Played Unlimited","0.22","","1.6800","0.1900","1","0","0.5000",""
"7126918","YuGiOh","Cyberstorm Access","Constellar Tellarknights","","CYAC-EN064","Super Rare","Lightly Played 1st Edition","0.32","","1.6900","0.2000","1","0","0.5000",""
"7126531","YuGiOh","Cyberstorm Access","Dreaming Nemleria","","CYAC-EN015","Super Rare","Near Mint 1st Edition","0.32","0.28","1.5900","0.1000","1","0","0.5000",""
"7126832","YuGiOh","Cyberstorm Access","GranSolfachord Coolia","","CYAC-EN049","Super Rare","Near Mint 1st Edition","0.91","1.05","2.3100","0.3200","1","0","0.9400",""
"7126912","YuGiOh","Cyberstorm Access","Libromancer Origin Story","","CYAC-EN063","Ultra Rare","Near Mint 1st Edition","0.82","1.71","1.6900","0.2000","1","0","0.9400",""
"7126882","YuGiOh","Cyberstorm Access","Mannadium Abscission","","CYAC-EN057","Super Rare","Near Mint 1st Edition","0.26","0.25","1.5400","0.0500","2","0","0.5000",""
"7126521","YuGiOh","Cyberstorm Access","Mannadium Fearless","","CYAC-EN013","Super Rare","Near Mint 1st Edition","0.14","0.10","1.5200","0.0300","6","0","0.5000",""
"7126526","YuGiOh","Cyberstorm Access","Mannadium Meek","","CYAC-EN014","Super Rare","Near Mint 1st Edition","0.20","0.10","1.5300","0.0400","4","0","0.5000",""
"7126516","YuGiOh","Cyberstorm Access","Mannadium Riumheart","","CYAC-EN012","Ultra Rare","Near Mint 1st Edition","0.85","1.75","1.8800","0.3900","1","0","0.7600",""
"7126827","YuGiOh","Cyberstorm Access","Protectcode Talker","","CYAC-EN048","Super Rare","Near Mint 1st Edition","3.60","9.88","4.4900","3.0000","0","0","0.9000",""
"7126737","YuGiOh","Cyberstorm Access","Vicious Astraloud","","CYAC-EN036","Secret Rare","Near Mint 1st Edition","0.80","3.84","1.9900","0.5000","2","0","0.9000",""
"568432","YuGiOh","Dark Beginning 1","Banisher of the Light","","DB1-EN044","Common","Lightly Played Unlimited","0.35","","1.6700","0.1800","1","0","0.5000",""
"568418","YuGiOh","Dark Beginning 1","Chain Energy","","DB1-EN030","Common","Lightly Played Unlimited","0.45","","1.7900","0.3000","1","0","0.5000",""
"568411","YuGiOh","Dark Beginning 1","Confiscation","","DB1-EN023","Common","Lightly Played Unlimited","0.72","","2.1100","0.6200","1","0","0.7700",""
"568757","YuGiOh","Dark Beginning 2","Dark-Piercing Light","","DB2-EN087","Common","Lightly Played Unlimited","0.25","","1.7400","0.2500","1","0","0.5000",""
"265835","YuGiOh","Dark Beginning 2","Perfectly Ultimate Great Moth","","DB2-EN249","Ultra Rare","Near Mint Unlimited","17.01","","16.8900","16.8900","1","0","18.7100",""
"568669","YuGiOh","Dark Beginning 2","Twin-Headed Behemoth","","DB2-EN174","Common","Lightly Played Unlimited","0.28","","1.6300","0.1400","1","0","0.5000",""
"264450","YuGiOh","Dark Crisis","Infernalqueen Archfiend","","DCR-071","Rare","Near Mint Unlimited","0.50","","1.6000","0.1000","1","0","0.5600",""
"7021673","YuGiOh","Dark Crisis (25th Anniversary Edition)","Great Maju Garzett","","DCR-EN063","Rare","Near Mint Unlimited","1.30","28.48","2.4900","1.0000","1","0","1.4100",""
"7021659","YuGiOh","Dark Crisis (25th Anniversary Edition)","Gyaku-Gire Panda","","DCR-EN021","Common","Lightly Played Unlimited","4.79","","17.5100","17.5100","1","0","19.4000",""
"7022073","YuGiOh","Dark Crisis (25th Anniversary Edition)","Spell Vanishing","","DCR-EN101","Super Rare","Near Mint Unlimited","6.14","10.95","5.4900","4.0000","1","0","7.1200",""
"4010890","YuGiOh","Dark Neostorm","Chain Hole","","DANE-EN077","Super Rare","Near Mint 1st Edition","0.40","","1.6500","0.1600","1","0","0.5000",""
"4010660","YuGiOh","Dark Neostorm","Destiny HERO - Dominance","","DANE-EN031","Super Rare","Near Mint 1st Edition","0.39","0.50","1.7400","0.2500","1","0","0.3900",""
"4010570","YuGiOh","Dark Neostorm","Super Quantum White Layer","","DANE-EN013","Rare","Near Mint 1st Edition","1.82","","2.8400","1.3500","1","0","1.9800",""
"569307","YuGiOh","Dark Revelation Volume 1","Blindly Loyal Goblin","","DR1-EN184","Common","Lightly Played Unlimited","0.05","","1.5400","0.0500","1","0","0.5000",""
"569201","YuGiOh","Dark Revelation Volume 1","Dimension Jar","","DR1-EN078","Common","Lightly Played Unlimited","0.29","","1.6800","0.1900","1","0","0.5000",""
"569236","YuGiOh","Dark Revelation Volume 1","Luster Dragon","","DR1-EN113","Common","Lightly Played Unlimited","0.39","","1.6900","0.2000","1","0","0.5100",""
"569351","YuGiOh","Dark Revelation Volume 1","Mefist the Infernal General","","DR1-EN228","Common","Lightly Played Unlimited","0.28","","1.7300","0.2400","1","0","0.5000",""
"267555","YuGiOh","Dark Revelation Volume 3","Master Monk","","DR3-EN200","Super Rare","Near Mint Unlimited","9.99","","","","1","0","9.9900",""
"1175666","YuGiOh","Dark Revelation Volume 4","D.D. Guide","","DR04-EN134","Common","Lightly Played Unlimited","0.49","","1.7900","0.3000","1","0","0.5400",""
"3806099","YuGiOh","Dark Saviors","Armageddon Knight","","DASA-EN040","Super Rare","Near Mint Unlimited","0.39","","1.7300","0.2400","1","0","0.5000",""
"3747103","YuGiOh","Dark Saviors","Armageddon Knight","","DASA-EN040","Super Rare","Near Mint 1st Edition","0.49","0.62","1.6900","0.2000","1","0","0.5400",""
"3747198","YuGiOh","Dark Saviors","Mirror Force","","DASA-EN059","Super Rare","Near Mint 1st Edition","2.63","2.34","3.7900","2.3000","1","0","2.6300",""
"3747108","YuGiOh","Dark Saviors","Plaguespreader Zombie","","DASA-EN041","Super Rare","Near Mint 1st Edition","3.22","3.50","3.9800","2.4900","0","0","3.7200",""
"3747038","YuGiOh","Dark Saviors","Sky Striker Ace - Kagari","","DASA-EN027","Super Rare","Near Mint 1st Edition","0.79","","2.1800","0.6900","1","0","0.7900",""
"3747098","YuGiOh","Dark Saviors","Sky Striker Airspace - Area Zero","","DASA-EN039","Super Rare","Near Mint 1st Edition","1.19","1.21","2.1200","0.6300","1","0","1.3500",""
"3747063","YuGiOh","Dark Saviors","Sky Striker Maneuver - Jamming Waves!","","DASA-EN032","Secret Rare","Near Mint 1st Edition","1.89","","2.7700","1.2800","1","0","2.2400",""
"3806064","YuGiOh","Dark Saviors","Sky Striker Mecha - Hornet Drones","","DASA-EN033","Super Rare","Near Mint Unlimited","0.34","0.49","1.7400","0.2500","1","0","0.3400",""
"3747093","YuGiOh","Dark Saviors","Sky Striker Mecha Modules - Multirole","","DASA-EN038","Secret Rare","Near Mint 1st Edition","1.75","4.97","2.4900","1.0000","2","0","1.7500",""
"3747118","YuGiOh","Dark Saviors","Toon Table of Contents","","DASA-EN043","Super Rare","Near Mint 1st Edition","5.24","","6.9500","6.9500","0","0","5.0000",""
"6658289","YuGiOh","Darkwing Blast","Arionpos, Serpent of the Ghoti","","DABL-EN088","Ultra Rare","Near Mint 1st Edition","3.03","3.10","3.4900","2.0000","3","0","3.5900",""
"6657802","YuGiOh","Darkwing Blast","Blackwing - Vata the Emblem of Wandering","","DABL-EN001","Super Rare","Near Mint 1st Edition","0.40","0.44","1.5600","0.0700","10","0","0.5000",""
"6657972","YuGiOh","Darkwing Blast","Branded Beast","","DABL-EN073","Super Rare","Near Mint 1st Edition","0.33","0.20","1.5100","0.0100","2","0","0.5000",""
"6657817","YuGiOh","Darkwing Blast","Branded Regained","","DABL-EN053","Super Rare","Near Mint 1st Edition","0.37","0.39","1.6400","0.1500","1","0","0.5000",""
"6657887","YuGiOh","Darkwing Blast","Bystial Druiswurm","","DABL-EN008","Super Rare","Near Mint 1st Edition","1.52","5.92","1.8900","0.4000","1","0","1.4900",""
"6658279","YuGiOh","Darkwing Blast","Donner, Dagger Fur Hire","","DABL-EN049","Super Rare","Near Mint 1st Edition","0.77","0.69","1.7300","0.2400","1","0","0.7600",""
"6657877","YuGiOh","Darkwing Blast","Kashtira Birth","","DABL-EN060","Super Rare","Near Mint 1st Edition","2.76","4.49","2.0900","0.6000","2","0","3.5200",""
"6658259","YuGiOh","Darkwing Blast","Kashtira Shangri-Ira","","DABL-EN045","Super Rare","Near Mint 1st Edition","0.42","0.40","1.6900","0.2000","1","0","0.5000",""
"6658234","YuGiOh","Darkwing Blast","Meizen the Battle Ninja","","DABL-EN040","Ultra Rare","Near Mint 1st Edition","1.02","1.02","1.9600","0.4700","1","0","1.1900",""
"6658109","YuGiOh","Darkwing Blast","Mitsu the Insect Ninja","","DABL-EN016","Ultra Rare","Near Mint 1st Edition","0.71","0.71","1.8100","0.3000","1","0","0.8100",""
"6657797","YuGiOh","Darkwing Blast","Muckraker From the Underworld","","DABL-EN051","Secret Rare","Near Mint 1st Edition","2.22","6.97","3.4600","1.9700","2","0","2.2200",""
"6657882","YuGiOh","Darkwing Blast","Ninjitsu Art Notebook of Mystery","","DABL-EN061","Ultra Rare","Near Mint 1st Edition","0.82","0.99","1.7300","0.2400","1","0","0.9200",""
"6658254","YuGiOh","Darkwing Blast","Shamisen Samsara Sorrowcat","","DABL-EN044","Super Rare","Near Mint 1st Edition","0.30","0.18","1.6600","0.1700","5","0","0.3000",""
"6658017","YuGiOh","Darkwing Blast","Simul Archfiends","","DABL-EN078","Super Rare","Near Mint 1st Edition","0.55","0.70","1.6900","0.2000","3","0","0.6100",""
"6658294","YuGiOh","Darkwing Blast","Snopios, Shade of the Ghoti","","DABL-EN087","Super Rare","Near Mint 1st Edition","0.28","0.35","1.7200","0.2300","7","0","0.2800",""
"6657982","YuGiOh","Darkwing Blast","Spright Double Cross","","DABL-EN074","Super Rare","Near Mint 1st Edition","0.39","0.33","1.7900","0.3000","1","0","0.5000",""
"6657912","YuGiOh","Darkwing Blast","The Bystial Alba Los","","DABL-EN010","Ultra Rare","Near Mint 1st Edition","0.30","0.33","1.6800","0.1900","3","0","0.5000",""
"6657932","YuGiOh","Darkwing Blast","Vaylantz Wakening - Solo Activation","","DABL-EN068","Ultra Rare","Near Mint 1st Edition","0.59","0.56","1.6400","0.1500","1","0","0.6300",""
"6658149","YuGiOh","Darkwing Blast","Vera the Vernusylph Goddess","","DABL-EN025","Ultra Rare","Near Mint 1st Edition","0.39","0.19","1.6800","0.1900","1","0","0.5000",""
"6658154","YuGiOh","Darkwing Blast","Vernusylph of the Misting Seedlings","","DABL-EN026","Super Rare","Near Mint 1st Edition","1.33","2.13","2.2400","0.7500","1","0","1.3300",""
"6658269","YuGiOh","Darkwing Blast","Wollow, Founder of the Drudge Dragons","","DABL-EN047","Super Rare","Near Mint 1st Edition","0.36","0.20","1.6400","0.1500","5","0","0.5000",""
"5142615","YuGiOh","Dawn of Majesty","Beetrooper Sting Lancer","","DAMA-EN087","Ultra Rare","Near Mint 1st Edition","0.45","","1.7500","0.2600","1","0","0.5100",""
"5142355","YuGiOh","Dawn of Majesty","Despian Proskenion","","DAMA-EN035","Super Rare","Near Mint 1st Edition","1.83","3.59","1.9900","0.5000","1","0","1.9900",""
"5141934","YuGiOh","Dawn of Majesty","Gizmek Naganaki, the Sunrise Signaler","","DAMA-EN016","Ultra Rare","Near Mint 1st Edition","0.38","0.22","1.5800","0.0900","1","0","0.5000",""
"5142505","YuGiOh","Dawn of Majesty","High Ritual Art","","DAMA-EN065","Ultra Rare","Near Mint 1st Edition","0.40","0.25","1.5700","0.0800","2","0","0.5000",""
"5142640","YuGiOh","Dawn of Majesty","Link Apple","","DAMA-EN092","Super Rare","Near Mint 1st Edition","0.32","","1.5000","0.0100","1","0","0.5000",""
"5142345","YuGiOh","Dawn of Majesty","Magikey Mechmortar - Garesglasser","","DAMA-EN033","Super Rare","Near Mint 1st Edition","0.21","0.16","1.5700","0.0800","2","0","0.5000",""
"5142595","YuGiOh","Dawn of Majesty","Night's End Administrator","","DAMA-EN083","Super Rare","Near Mint 1st Edition","0.25","0.11","1.5200","0.0300","1","0","0.5000",""
"5142385","YuGiOh","Dawn of Majesty","Stellar Wind Wolfrayet","","DAMA-EN041","Ultra Rare","Near Mint 1st Edition","0.84","3.00","1.9800","0.4900","1","0","0.7900",""
"5142655","YuGiOh","Dawn of Majesty","Tindangle Jhrelth","","DAMA-EN095","Super Rare","Near Mint 1st Edition","0.25","0.11","1.5300","0.0400","1","0","0.5000",""
"5142670","YuGiOh","Dawn of Majesty","Trickstar Festival","","DAMA-EN098","Super Rare","Near Mint 1st Edition","0.24","0.21","1.5600","0.0700","6","0","0.5000",""
"5142405","YuGiOh","Dawn of Majesty","Voloferniges, the Darkest Dragon Doomrider","","DAMA-EN045","Super Rare","Near Mint 1st Edition","0.58","0.49","1.7400","0.2500","1","0","0.6600",""
"3251384","YuGiOh","Destiny Soldiers","Darklord Marie","","DESO-EN046","Super Rare","Near Mint 1st Edition","0.42","","1.6900","0.2000","1","0","0.5000",""
"3251359","YuGiOh","Destiny Soldiers","Darklord Zerato","","DESO-EN041","Super Rare","Near Mint 1st Edition","0.50","","1.8700","0.3800","1","0","0.5400",""
"3251369","YuGiOh","Destiny Soldiers","Fires of Doomsday","","DESO-EN043","Super Rare","Near Mint 1st Edition","0.47","","1.7800","0.2900","1","0","0.5000",""
"5591495","YuGiOh","Dimension Force","Changshi the Spiridao","","DIFO-EN096","Super Rare","Near Mint 1st Edition","0.64","0.92","1.5900","0.1000","12","0","0.9800",""
